"","Title.x","Doi.x","Year","Taxon","Species","Social_mating_system","Mating_in_study","Source_of_population","Exposure_stage","Exposure_category","Exposure_factor","Proximate_mechanisms","Maternal_effects","Maternal_effectcs_control","Latest_offspring_stage","Embryo_traits","Just_born_hatched_traits","Larvae_traits","Juveniles_traits","Adult_traits","Trait_list","Grand_offspring_traits","Grand_offspring_stage","Sex_specific_effects","Maternal_exposure","Offspring_exposure","Comments","link","id","label","Title.y","Doi.y","x","y","cluster","weight.Links.","weight.Total.link.strength.","weight.Citations.","weight.Norm..citations.","score.Pub..year.","score.Citations.","score.Norm..citations."
"281","aberrant methylation of multiple imprinted genes in embryos of tamoxifen-treated male rats","10.1530.rep.12.0439",2013,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as adult","Drug","Tamoxifen citrate administarted 5d/week for 60 days","correlative assessment","no",NA,"embryos","gene expression, survival",NA,NA,NA,NA,"postimplantation embryo loss, gene expression and methylation in normal embryos","no",NA,"no","no","no",NA,"10.1530.rep.12.0439",267,"kedia-mokashi n.a. (2013)","aberrant methylation of multiple imprinted genes in embryos of tamoxifen-treated male rats","10.1530.rep.12.0439",0.0932,0.5085,1,81,27,6,0.1228,2013,6,0.1228
"282","effect of paternal administration of an antiestrogen, tamoxifen on embryo development in rats","10.1016.s0303.7207(01)00723.7",2002,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as adult","Drug","tamoxifen citrate of different does adrministarted for 30, 60 or 90 days","does not assess","no",NA,"embryos","morphology, survival",NA,NA,NA,NA,"foetal survival, embryonic weight and edevolpment","no",NA,"no","no","no",NA,"10.1016.s0303.7207(01)00723.7",383,"balasinor n. (2002)","effect of paternal administration of an antiestrogen, tamoxifen on embryo development in rats","10.1016.s0303.7207(01)00723.7",0.4629,0.7151,1,16,10,27,0.5606,2002,27,0.5606
"283","effect of paternal tamoxifen on the expression of insulin-like growth factor 2 and insulin-like growth factor type 1 receptor in the post-implantation rat embryos","10.1002.mrd.20159",2004,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as adult","Drug","Tamoxifen citrate adomistarted orally 5 days a week for 90 days, mating at different time pions during administration","does not assess","no",NA,"embryos","gene expression, morphology",NA,NA,NA,NA,"embryonic gene expression and protein content in normal and resorbed embryos","no",NA,"no","no","no",NA,"10.1002.mrd.20159",371,"kedia n. (2004)","effect of paternal tamoxifen on the expression of insulin-like growth factor 2 and insulin-like growth factor type 1 receptor in the post-implantation rat embryos","10.1002.mrd.20159",0.5048,0.6107,1,43,19,7,0.2325,2004,7,0.2325
"284","effects of subchronic treatment with cis‐platinum on testicular function, fertility, pregnancy outcome, and progeny","..",1992,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as adult","Drug","cis-paltinum injections for 9 weeks","correlative assessment","no",NA,"embryos","morphology, survival",NA,NA,NA,NA,"embryonic survival, embryonic weight","no",NA,"no","no","no",NA,"effects of subchronic treatment with cis‐platinum on testicular function, fertility, pregnancy outcome, and progeny",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285","investigating the potential of nigella sativa and thymoquinone in salvaging the embryo from effects of toxic paternal exposure to cyclophosphamide","..",2017,"non-human mammal","Mus musculus","polygamy – promiscuity","unclear","captive","as adult","Drug","Cyclophosphamide and/or Nigella Sativa and Thymoquinone","correlative assessment","yes – maternal effects","in-vitro fertilization","embryos","morphology",NA,NA,NA,NA,"emryonic grade of fragmentation and structure","no",NA,"no","no","no",NA,"investigating the potential of nigella sativa and thymoquinone in salvaging the embryo from effects of toxic paternal exposure to cyclophosphamide",114,"rahman s.a. (2017)","investigating the potential of nigella sativa and thymoquinone in salvaging the embryo from effects of toxic paternal exposure to cyclophosphamide","",0.8267,0.5481,2,8,12,1,0.1429,2017,1,0.1429
"286","oxidative stress in the testis induced by tamoxifen and its effects on early embryo development in isogenic mice","10.2131.jts.37.675",2012,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Drug","exposure to tamoxifen citrate for 4 weeks prior to mating","correlative assessment","yes – maternal effects","in-vitro fertilization","embryos","morphology",NA,NA,NA,NA,"early embryonic development","no",NA,"no","no","no",NA,"10.2131.jts.37.675",294,"lee s. (2012)","oxidative stress in the testis induced by tamoxifen and its effects on early embryo development in isogenic mice","10.2131.jts.37.675",0.4177,1.1698,1,6,4,3,0.0789,2012,3,0.0789
"287","adverse effects of paternal opiate exposure on offspring development and sensitivity to morphine-induced analgesia","..",1995,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as adult","Drug","two injections of morphine or cocaine 24h prior to mating","does not assess","no",NA,"adults",NA,"morphology",NA,"morphology","physiology, morphology","birth weight and at subsequesnt time points, developmental milestones, reaction to morphine,","no",NA,"one sex measured only","no","yes",NA,"adverse effects of paternal opiate exposure on offspring development and sensitivity to morphine-induced analgesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","enhanced anxiety in the male offspring of sires that self-administered cocaine","10.1111.adb.12258",2015,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as adult","Drug","cocaine self-adimistration for 60 days","does not assess","no",NA,"adults",NA,NA,NA,NA,"gene expression, behavior","anxiety-like behaviors, also after challeng with cocaine, nerodeveloment, brain gene expression","no",NA,"yes","no","yes",NA,"10.1111.adb.12258",160,"white s.l. (2016)","enhanced anxiety in the male offspring of sires that self-administered cocaine","10.1111.adb.12258",-0.6533,-0.1466,1,43,12,13,0.6197,2016,13,0.6197
"289","exposure to opiates in male adolescent rats alters pain perception in the male offspring","10.1097.fbp.0000000000000388",2018,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as juvenile, as adult","Drug","morphine sulfate injections at adolescence for 9 days, followed by 20 days of rest","does not assess","no",NA,"adults",NA,"morphology, other",NA,NA,"behavior","body weight, sex ratio, pain perception and antinociceptive effect of morphine in adult male offspring","no",NA,"one sex measured only","no","yes",NA,"10.1097.fbp.0000000000000388",82,"pachenari n. (2018)","exposure to opiates in male adolescent rats alters pain perception in the male offspring","10.1097.fbp.0000000000000388",0.0197,0.6711,1,17,9,6,1.5396,2018,6,1.5396
"290","impaired cocaine-induced behavioral plasticity in the male offspring of cocaine-experienced sires","10.1111.ejn.14310",2019,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as adult","Drug","cocaine self-administration for 60 days","other","no",NA,"adults",NA,NA,NA,NA,"gene expression, behavior","cocaine sensitization phenotype, nocotine self-administartion, histone post-translational modifications, simmilar tests in the grand-offspring","phenotype","adults","yes","no","yes",NA,"10.1111.ejn.14310",3,"wimmer m.e. (2019)","impaired cocaine-induced behavioral plasticity in the male offspring of cocaine-experienced sires","10.1111.ejn.14310",-0.1745,0.3586,1,72,22,1,0.6452,2019,1,0.6452
"291","paternal exposure to morphine during adolescence induces reward-resistant phenotype to morphine in male offspring","10.1016.j.brainresbull.2019.02.004",2019,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as juvenile","Drug","morphine exposure between 31 and 40 days old","does not assess","no",NA,"adults",NA,NA,NA,NA,"physiology, behavior","morphine-induced conditioned place preference, brain functioning (spontaneous burst firing of VTA DA neurons)","no",NA,"one sex measured only","no","yes",NA,"10.1016.j.brainresbull.2019.02.004",4,"azadi m. (2019)","paternal exposure to morphine during adolescence induces reward-resistant phenotype to morphine in male offspring","10.1016.j.brainresbull.2019.02.004",-0.1293,0.4634,1,51,17,1,0.6452,2019,1,0.6452
"292","paternal nicotine exposure alters hepatic xenobiotic metabolism in offspring","10.7554.elife.24771.001",2017,"non-human mammal","Mus musculus","polygamy – promiscuity","unclear","captive","as juvenile, as adult","Drug","tartaric acid or nicotine for 5 weeks","does not assess","no",NA,"adults",NA,NA,NA,NA,"gene expression, physiology, morphology, behavior, survival","locomoto activity, nicotine self-administration, cotinine levels, anxiety, brain function and RNA expression, liver histology, tolerance to xenobiotics","no",NA,"one sex measured only","no","yes",NA,"10.7554.elife.24771.001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293","reproductive epidemiology in sulfonamide factory workers","10.1080.009841096161816",1996,"human","Homo sapiens","monogamy","with mate choice","human","as adult","Drug; Chemical substance","occupational exposure to sulfonamides and smoking habits","does not assess","no",NA,"embryos","survival","morphology",NA,NA,NA,"frequency of abortions, stillbirths, premature births, and live births, congenital malformations","no",NA,"no","no","no",NA,"10.1080.009841096161816",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294","sperm storage by males causes changes in sperm phenotype and influences the reproductive fitness of males and their sons","10.1002.evl3.2",2017,"fish","Poecilia reticulata","polygamy – promiscuity","without mate choice","captive","as adult","Past experience","males striped of sperm (simulation of sperm depletion due to mating)","experimental alteration of a specific sperm/semen trait","yes – maternal effects","artificial insemination","adults",NA,NA,NA,"survival","morphology, survival, fecundity","survival and body size at adulthood, sperm numer and velocity of adult males at two time points, offspring sex ratio","no",NA,"yes","no","no",NA,"10.1002.evl3.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295","sexual activity diminishes male virility in two coccinella species: consequences for female fertility and progeny development","10.1017.s0007485313000199",2013,"arthropod","Coccinella septempunctata; Coccinella transversalis","polygamy – promiscuity","without mate choice","wild brought into captivity","as adult","Past experience","previous male mating experience","other","no",NA,"juveniles",NA,NA,NA,"survival, other",NA,"developmental time (from egg to adult emergence), stage-specific mortality","no",NA,"no","no","NA",NA,"10.1017.s0007485313000199",264,"michaud j.p. (2013)","sexual activity diminishes male virility in two coccinella species: consequences for female fertility and progeny development","10.1017.s0007485313000199",-0.9592,0.3169,3,46,19,21,0.4298,2013,21,0.4298
"296","effects of paternal reproductive tactic on juvenile behaviour and kin recognition in chinook salmon (oncorhynchus tshawytscha)","10.1111.j.1439.0310.2011.01894.x",2011,"fish","Oncorhynchus tshawytscha","polygamy – promiscuity","without mate choice","captive","as adult","Past experience; Age","reproductive tactics confunded with age","does not assess","yes – maternal effects","in-vitro fertilization","juveniles",NA,NA,NA,"morphology, behavior",NA,"social hierarhy and kin recognition, frequency of agression, body mass, feeding rate","no",NA,"no","no","NA",NA,"10.1111.j.1439.0310.2011.01894.x",316,"henkel a.j. (2011)","effects of paternal reproductive tactic on juvenile behaviour and kin recognition in chinook salmon (oncorhynchus tshawytscha)","10.1111.j.1439.0310.2011.01894.x",-1.2032,1.5056,3,1,1,2,0.0623,2011,2,0.0623
"297","paternal effects correlate with female reproductive stimulation in the polyandrous ladybird cheilomenes sexmaculata","10.1017.s0007485314000194",2014,"arthropod","Cheilomenes sexmaculata","polygamy – promiscuity","without mate choice","captive","as adult","Past experience; Age","male previous mating experiance, age","does not assess","no",NA,"adults",NA,NA,NA,NA,"morphology, survival, other","developmental time of progeny from egg to adult, sex ratio, body mass","no",NA,"yes","no","NA",NA,"10.1017.s0007485314000194",247,"mirhosseini m.a. (2014)","paternal effects correlate with female reproductive stimulation in the polyandrous ladybird cheilomenes sexmaculata","10.1017.s0007485314000194",-1.0973,0.2401,3,54,24,12,0.3201,2014,12,0.3201
"298","exercise alters mouse sperm small noncoding rnas and induces a transgenerational modification of male offspring conditioned fear and anxiety","10.1038.tp.2017.82",2017,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Physiological factor","4-week access to a runnig wheel","correlative assessment","no",NA,"adults",NA,"morphology",NA,"behavior","behavior","bdy weight, ultrasonic vocalizations of pups, conditioned fear memory as juveniles, anxiety in adults","no",NA,"yes","no","no","altered levels of small noncoding RNAs in sperm","10.1038.tp.2017.82",132,"short a.k. (2017)","exercise alters mouse sperm small noncoding rnas and induces a transgenerational modification of male offspring conditioned fear and anxiety","10.1038.tp.2017.82",-0.5962,-0.3458,1,144,38,31,4.4286,2017,31,4.4286
"299","influence of paternal immunity on idiotype expression in offspring","10.1007.bf00372236",1985,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as adult","Physiological factor","immunization with streptococcal cell wall carbohydrate (SACHO)","does not assess","no",NA,"adults",NA,NA,NA,NA,"physiology","antibody resposne to the same stimulus as that of the fathers","phenotype","adults","no","no","yes","offspring age at measurement not reported, but referred to as ""litter""","10.1007.bf00372236",454,"cooper-willis c.a. (1985)","influence of paternal immunity on idiotype expression in offspring","10.1007.bf00372236",-0.7746,1.0979,3,2,2,2,0.2727,1985,2,0.2727
"300","adult glucocorticoid exposure leads to transcriptional and dna methylation changes in nuclear steroid receptors in the hippocampus and kidney of mouse male offspring","10.1095.biolreprod.113.115899",2014,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Physiological factor","injection with synthetic glucocorticoid (dexamethasone) for 5 days, prior to maiting 35 or 60 days later","correlative assessment","no",NA,"adults",NA,NA,NA,NA,"gene expression, physiology, morphology, other","sperm traits, DNA methylation in sperm, gene expression in hippocampus and kidenys, plasma corticosterone also following restrain test, telomere legnth","no",NA,"one sex measured only","no","no",NA,"10.1095.biolreprod.113.115899",253,"petropoulos s. (2014)","adult glucocorticoid exposure leads to transcriptional and dna methylation changes in nuclear steroid receptors in the hippocampus and kidney of mouse male offspring","10.1095.biolreprod.113.115899",0.155,-0.1762,1,140,30,34,0.907,2014,34,0.907
"301","biobehavioral effects produced by paternal sleep disturbances","10.1111.sbr.12109
© 2015",2015,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as adult","Physiological factor","sleep deprivation in different schedules","does not assess","no",NA,"adults",NA,NA,NA,NA,"morphology, behavior","body weight, escape lantacey in Morris maze, fored swim test, immobiloty time","no",NA,"yes","no","no",NA,"10.1111.sbr.12109
© 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302","effects of paternal hypothalamic obesity and taurine supplementation on adiposity and vascular reactivity in rat offspring","10.1007.978.3.319.15126.7.60",2015,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as juvenile, as adult","Physiological factor","obesity induced by neonatal administration of monosodium glutamate (MSG) followed amino acid taurine (Tau) administarted after weaning by","does not assess","no",NA,"adults",NA,NA,NA,"morphology","gene expression, physiology, morphology","body weight, food intake, fat content, insulin levels, glucose tolerance, Ach-induced aorta relaxation","no",NA,"yes","no","no",NA,"10.1007.978.3.319.15126.7.60",217,"leão v.f. (2015)","effects of paternal hypothalamic obesity and taurine supplementation on adiposity and vascular reactivity in rat offspring","10.1007.978.3.319.15126.7.60",-0.2355,-0.8042,1,112,7,1,0.0358,2015,1,0.0358
"303","elevated paternal glucocorticoid exposure alters the small noncoding rna profile in sperm and modifies anxiety and depressive phenotypes in the offspring","10.1038.tp.2016.109",2016,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Physiological factor","supplemeneted with corticosterone (CORT) for 4 weeks","correlative assessment","no",NA,"adults",NA,NA,NA,"behavior","gene expression, behavior","ultrasonic vocalizations at 3 days old, at adulthood: elevated-plus maze, light–dark test, forced-swim, hyponeophagia, gene expression in different organs,","phenotype","adults","yes","no","no",NA,"10.1038.tp.2016.109",180,"short a.k. (2016)","elevated paternal glucocorticoid exposure alters the small noncoding rna profile in sperm and modifies anxiety and depressive phenotypes in the offspring","10.1038.tp.2016.109",-0.4547,-0.0239,1,170,43,41,1.9545,2016,41,1.9545
"304","elevated paternal glucocorticoid exposure modifies memory retention in female offspring","10.1016.j.psyneuen.2017.05.014",2017,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Physiological factor","CORT-supplemented water for 4 weeks","does not assess","no",NA,"adults",NA,NA,NA,"morphology","morphology, behavior","body weight, social interaction, spatial memory, exploratory behavior","no",NA,"yes","no","no",NA,"10.1016.j.psyneuen.2017.05.014",103,"yeshurun s. (2017)","elevated paternal glucocorticoid exposure modifies memory retention in female offspring","10.1016.j.psyneuen.2017.05.014",-0.0331,-0.4445,1,107,31,9,1.2857,2017,9,1.2857
"305","germline and reproductive tract effects intensify in male mice with successive generations of estrogenic exposure","10.1371.journal.pgen.1006885",2017,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as juvenile","Physiological factor","treatment with 0.25 ng/g/day ethinyl estradiol for 1-12 days of live","correlative assessment","no",NA,"adults",NA,NA,NA,NA,"morphology, fecundity, other","Spermatocyte morphology and reproductive track abnormalities, meiotic crossover","fitness (survival or fecundity)","adults","one sex measured only","no","no",NA,"10.1371.journal.pgen.1006885",110,"horan t.s. (2017)","germline and reproductive tract effects intensify in male mice with successive generations of estrogenic exposure","10.1371.journal.pgen.1006885",0.3508,-0.2393,2,90,27,5,0.7143,2017,5,0.7143
"306","hypersensitivity to sertraline in the absence of hippocampal 5-ht1ar and 5-htt gene expression changes following paternal corticosterone treatment","10.1093.eep.dvy015",2018,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Physiological factor","CORT supelementation for 6 weeks","does not assess","no",NA,"adults",NA,NA,NA,NA,"gene expression, physiology, behavior","offspring treatment: eniviromenatl enrichment,serotonergic function, anxiety phenotype,gene expression levels of 5HT1AR and serotonin transporter","no",NA,"yes","no","no",NA,"10.1093.eep.dvy015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307","maternal tract factors contribute to paternal seminal fluid impact on metabolic phenotype in offspring","10.1073.pnas.1305609111",2014,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Physiological factor","removal of seminal vesicle glands","experimental alteration of a specific sperm/semen trait","no","cross-fostering","adults","gene expression, survival","morphology",NA,NA,"morphology","body mass at birth and several developmental time, body composition of adults, blood pressure, adipocytokines, and glucose tolerance, embryonic gene expression","no",NA,"yes","no","no",NA,"10.1073.pnas.1305609111",235,"bromfield j.j. (2014)","maternal tract factors contribute to paternal seminal fluid impact on metabolic phenotype in offspring","10.1073.pnas.1305609111",-0.3963,-0.4088,1,129,20,159,4.2416,2014,159,4.2416
"308","paternal hyperglycemia in rats exacerbates the development of obesity in offspring","10.1530.joe.17.0082",2017,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as adult","Physiological factor","hyperglycemia induced by streptozotocin (STZ) six weeks prior to conception","does not assess","no",NA,"adults",NA,NA,NA,NA,"gene expression, physiology, morphology","body weight, food intake, thermogenic capacity, glucose and insulin tolerance, expression of factors involved in hypothalamic feeding and brown adipose tissue (BAT) thermogenic activity","no",NA,"no","no","no",NA,"10.1530.joe.17.0082",106,"shi x. (2017)","paternal hyperglycemia in rats exacerbates the development of obesity in offspring","10.1530.joe.17.0082",-0.3982,-0.6491,1,132,17,4,0.5714,2017,4,0.5714
"309","paternal hyperglycemia induces transgenerational inheritance of susceptibility to hepatic steatosis in rats involving altered methylation on pparα promoter","10.1016.j.bbadis.2018.10.040",2019,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as adult","Physiological factor","hyperglycemia induced by streptozotocin","does not assess","no",NA,"adults","gene expression, physiology",NA,NA,NA,"gene expression, physiology","metabolic profiles; DNA methylation profiles and gene expression","no",NA,"no","no","no",NA,"10.1016.j.bbadis.2018.10.040",20,"li x. (2019)","paternal hyperglycemia induces transgenerational inheritance of susceptibility to hepatic steatosis in rats involving altered methylation on pparα promoter","10.1016.j.bbadis.2018.10.040",-0.2589,-0.4883,1,138,22,1,0.6452,2019,1,0.6452
"310","paternal long-term exercise programs offspring for low energy expenditure and increased risk for obesity in mice","10.1096.fj.15.274274",2016,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Physiological factor","24 h access to an in-cage running wheel","correlative assessment","no",NA,"adults",NA,"physiology, morphology, behavior",NA,NA,"physiology, morphology, behavior","body weight and composition, activity, food and water intake, metabolic performance, glucose tolerance, gene methylation patterns","no",NA,"no","no","no",NA,"10.1096.fj.15.274274",172,"murashov a.k. (2016)","paternal long-term exercise programs offspring for low energy expenditure and increased risk for obesity in mice","10.1096.fj.15.274274",-0.0815,-0.4021,1,172,26,27,1.2871,2016,27,1.2871
"311","paternal physical exercise demethylates the hippocampal dna of male pups without modifying the cognitive and physical development","10.1016.j.bbr.2018.03.040",2018,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as adult","Physiological factor","treadmill running, 5 consecutive days/week for 8 weeks (20 min/day)","does not assess","no",NA,"adults",NA,NA,NA,NA,"gene expression, physiology, morphology, behavior","body growth, physical and cognitive performance, weights of adrenal glands, gonadal fat and hindlimb muscles, BDNF expression and global DNA methylation at the hippocampus, voluntary physical activity, spatial learning","no",NA,"one sex measured only","no","no",NA,"10.1016.j.bbr.2018.03.040",43,"mega f. (2018)","paternal physical exercise demethylates the hippocampal dna of male pups without modifying the cognitive and physical development","10.1016.j.bbr.2018.03.040",-0.1839,0.0509,1,123,31,4,1.0264,2018,4,1.0264
"312","paternal physical exercise improves spatial learning ability by enhancing hippocampal neuroplasticity in male pups born from obese maternal rats","10.12965.jer.1734998.499",2017,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as adult","Physiological factor","exercised for a 12-week period","does not assess","no",NA,"adults",NA,NA,NA,NA,"gene expression, behavior","spatial learning ability, expressions of brain-derived neuro-trophic factor (BDNF) and tyrosine kinase B receptor (TrkB) in the hippocampus","no",NA,"one sex measured only","no","no",NA,"10.12965.jer.1734998.499",112,"park h.-s. (2017)","paternal physical exercise improves spatial learning ability by enhancing hippocampal neuroplasticity in male pups born from obese maternal rats","10.12965.jer.1734998.499",-0.4925,-0.4239,1,69,10,5,0.7143,2017,5,0.7143
"313","male-lineage transmission of an acquired metabolic phenotype induced by grand-paternal obesity","10.1016.j.molmet.2016.06.008",2016,"non-human mammal","Mus musculus","polygamy – promiscuity","unclear","captive","as adult","Physiological factor","obese versus lean males","correlative assessment","yes – maternal effects","other","adults",NA,NA,NA,NA,"physiology, morphology","body weight, geonadal weight, glucose tolerance, insluin levels, hepatic triacylglyceride and diacylglyceride","phenotype","adults","one sex measured only","no","NA",NA,"10.1016.j.molmet.2016.06.008",156,"cropley j.e. (2016)","male-lineage transmission of an acquired metabolic phenotype induced by grand-paternal obesity","10.1016.j.molmet.2016.06.008",-0.4929,-0.1422,1,181,42,47,2.2405,2016,47,2.2405
"314","effects of male accessory sex glands on deoxyribonucleic acid synthesis in the first cell cycle of golden hamster embryos","10.1095.biolreprod58.3.659",1998,"non-human mammal","Mesocricetus auratus","polygamy – promiscuity","without mate choice","captive","as adult","Physiological factor","removal of male accessory sex glands","correlative assessment","no",NA,"embryos","morphology",NA,NA,NA,NA,"zygote development, S-Phase in the first cell cycle, pronuclear development,","no",NA,"no","no","no",NA,"10.1095.biolreprod58.3.659",401,"ying y. (1998)","effects of male accessory sex glands on deoxyribonucleic acid synthesis in the first cell cycle of golden hamster embryos","10.1095.biolreprod58.3.659",0.2721,-0.833,2,3,2,21,0.8936,1998,21,0.8936
"315","modulation of embryonic development due to mating with immunised males","10.1071.rd15173",2017,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Physiological factor","immunization with keyhole limpet haemocyanin (KLH) 3 day prior to mating","does not assess","no",NA,"embryos","morphology",NA,NA,NA,NA,"embryonic body mass","no",NA,"no","no","no",NA,"10.1071.rd15173",137,"gerlinskaya l.a. (2017)","modulation of embryonic development due to mating with immunised males","10.1071.rd15173",0.1119,0.1839,1,83,9,3,0.4286,2017,3,0.4286
"316","different effects of paternal transgenerational immune priming on survival and immunity in step and genetic offspring","10.1098.rspb.2014.2089",2014,"arthropod","Tribolium castaneum","polygamy – promiscuity","without mate choice","captive","as adult","Physiological factor","iimmunization with Bacillus thuringiensis","telegony","unclear",NA,"adults",NA,NA,NA,NA,"gene expression, physiology, survival","offspring survival after a bacterial challenge, phenoloxidase activity, immune and stress gene expression","no",NA,"no","no","yes",NA,"10.1098.rspb.2014.2089",225,"eggert h. (2014)","different effects of paternal transgenerational immune priming on survival and immunity in step and genetic offspring","10.1098.rspb.2014.2089",-0.612,0.0239,3,79,38,35,0.9337,2014,35,0.9337
"317","experimental parasite infection reveals costs and benefits of paternal effects","10.1111.ele.12344",2014,"fish","Gasterosteus aculeatus","polygamy – promiscuity","without mate choice","wild brought into captivity","as juvenile","Physiological factor","experimental infection with the nematode Camallanus lacustris","correlative assessment","yes – maternal effects","in-vitro fertilization","juveniles","survival",NA,"survival","physiology, morphology, survival",NA,"hatching success, larvae and juvenile survival, juveline body condition, offspring resistance to the same parasite (nematode Camallanus lacustris)","no",NA,"yes","no","yes",NA,"10.1111.ele.12344",224,"kaufmann j. (2014)","experimental parasite infection reveals costs and benefits of paternal effects","10.1111.ele.12344",-0.7179,0.2119,3,109,24,15,0.4002,2014,15,0.4002
"318","paternal physical exercise modulates global dna methylation status in the hippocampus of male rat offspring","10.4103.1673.5374.245473",2019,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as adult","Physiological factor","paternal preconception exercise: treadmill running, 20 minutes daily, 5 consecutive days per week for 22 days","correlative assessment","no",NA,"adults",NA,"morphology",NA,"morphology","gene expression, physiology, morphology, behavior","body weight on several days, neonatal behaviour/develpomental milestones, metabolic performance in the tread mill (the same as fathers), spatial learning, DNA methylation of the offspring hippocampus, cell survival and neuroplsticity","no",NA,"one sex measured only","no","yes",NA,"10.4103.1673.5374.245473",8,"spindler c. (2019)","paternal physical exercise modulates global dna methylation status in the hippocampus of male rat offspring","10.4103.1673.5374.245473",0.0134,-0.1033,1,94,27,1,0.6452,2019,1,0.6452
"319","sexual selection drives the evolution of limb regeneration in harmonia axyridis (coleoptera: coccinellidae)","10.1017.s0007485315000036",2015,"arthropod","Harmonia axyridis","polygamy – promiscuity","without mate choice","wild brought into captivity","as juvenile","Physiological factor","leg amputation with a potential confounder (leg regeneartion)","other","no",NA,"adults","survival","survival","survival","survival","morphology, other","hatching success, duration of development and survival (%) of each developmental stage, limb regeneration following amputation, adult nody mass","no",NA,"no","no","yes",NA,"10.1017.s0007485315000036",215,"wang s. (2015)","sexual selection drives the evolution of limb regeneration in harmonia axyridis (coleoptera: coccinellidae)","10.1017.s0007485315000036",-1.2571,-0.2374,3,7,5,12,0.4298,2015,12,0.4298
"320","effects of paternal predation risk and rearing environment on maternal investment and development of defensive responses in the offspring","10.1523.eneuro.0231.16.2016",2016,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as adult","Psychological factor","predator odor for 30 min x 3 in 7consecutive days","does not assess","no",NA,"adults",NA,NA,NA,"behavior","gene expression, behavior","pup play behavior, anxiety beahviour, brain analysis after acute exposure to predator odor: hypothalamic crf gene regulation","no",NA,"yes","no","yes","maternal differenciall allocation to the offspring","10.1523.eneuro.0231.16.2016",177,"korgan a.c. (2016)","effects of paternal predation risk and rearing environment on maternal investment and development of defensive responses in the offspring","10.1523.eneuro.0231.16.2016",-0.2748,-0.0992,1,181,36,5,0.2384,2016,5,0.2384
"321","paternal social enrichment effects on maternal behavior and offspring growth","10.1073.pnas.1121083109",2012,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as juvenile, as adult","Psychological factor","lifetime of socially enriched enviroment compared with impoverished housing","does not assess","no",NA,"juveniles","other",NA,NA,NA,"morphology, behavior","sex ratio, body mass at weaning, behawior in ope filed test, light/dark test, anxiety testing","no",NA,"no","no","no","maternal effects due to paternal condition!","10.1073.pnas.1121083109",291,"mashoodh r. (2012)","paternal social enrichment effects on maternal behavior and offspring growth","10.1073.pnas.1121083109",-0.3688,0.2107,1,191,39,68,1.7895,2012,68,1.7895
